observation_id,metric_id,canonical_metric_name,value,unit,numerator,denominator,time_basis,population,sample_size,age,sex,training_status,intervention,comparator,duration,measurement_method,uncertainty,source_id,source_relative_path,source_line,table,row,column,transformation_history,confidence,review_status
OBS-6332F857E5555D84,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,129.6;0.55;0.011;2;213.8,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,19,Formula table,bmr.general.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-87EDBBBE2DB6B4F7,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,1.96;60;4.9;60;0,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,20,Formula table,bmr.general.ageAdjustment.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-2E82BCDB822396B0,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,50.2;0.7;40.5;0.7;0.066,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,21,Formula table,bmr.ffm.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-EDFE7AE082B7D2DD,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,1.1;60;2.75;60;0,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,22,Formula table,bmr.ffm.ageAdjustment.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-5895E5B38FE6268A,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,40.4;0.932,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,23,Formula table,bmr.athlete.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-2B348CFDECF9BD4E,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,0.95,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,24,Formula table,bmr.adaptation.deficit.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-E2AD44474C34FDAD,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,0.97;10,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,25,Formula table,bmr.adaptation.lowWeight.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-4EF3247E0AF08896,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,0.92,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,26,Formula table,bmr.adaptation.combined.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-11C5D647F40955BE,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,7700,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,29,Formula table,storedEnergy.symmetric7700.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-3E919D9860CF7622,MET-BODY-MASS,Body mass,1;1,kg,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,30,Formula table,trend.ewma.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-F7FC17CDF11A6642,MET-WEEKLY-MASS-CHANGE,Weekly body mass change,0;20;7,kg/week,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,31,Formula table,changeRate.20day.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-8762259A681F9527,MET-WEEKLY-MASS-CHANGE-PCT,Weekly body mass change rate,100,%/week,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,32,Formula table,changeRate.percent.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-C38125BF452A7C3B,MET-ENERGY-EXPENDITURE,Estimated energy expenditure,7700;7,kcal/day,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,33,Formula table,target.signedRate.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-B200F5C5A17F0704,MET-ENERGY-INTAKE,Energy intake,7,kcal/week,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,34,Formula table,budget.weekly.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
OBS-6FA55330F8CCCAD9,MET-ENERGY-INTAKE,Energy intake,4;4;9,kcal/g,,,,NOT_DOCUMENTED_IN_FORMULA_ROW,,,,,,,,formula_registry_extraction,Formula row may contain multiple constants; source validation required,SRC-BF5BC672188C8807,03-nutrition/MacroFactor_Hybrid_Engine_Formula_Registry.md,35,Formula table,macro.energyFactors.v1,Definition,regex_numeric_token_extraction_v1,unassessed,structured_observation_unverified
